ledger_id,output_table,row_key,field,value,definition,denominator,rounding,source_path,source_sha256,source_record,period_role,population_boundary,claim_class,required_labels
DEV-0001,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__xgboost__004,rank,1,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__xgboost__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0002,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__xgboost__004,pooled_oof_pr_auc,0.41308893399384633,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__xgboost__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0003,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__xgboost__004,pooled_oof_roc_auc,0.7598701797010347,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__xgboost__004,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0004,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__hist_gradient_boosting__007,rank,2,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__hist_gradient_boosting__007,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0005,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__hist_gradient_boosting__007,pooled_oof_pr_auc,0.4078102954039723,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__hist_gradient_boosting__007,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0006,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__hist_gradient_boosting__007,pooled_oof_roc_auc,0.7587946661506314,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__hist_gradient_boosting__007,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0007,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__random_forest__003,rank,3,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__random_forest__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0008,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__random_forest__003,pooled_oof_pr_auc,0.4066369584050779,"Pooled OOF average precision, historically labelled PR-AUC.",OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__random_forest__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0009,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__random_forest__003,pooled_oof_roc_auc,0.7587838197677795,Pooled OOF ROC-AUC.,OOF company-year observations 2015-2020,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__random_forest__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
DEV-0010,tables/01_development_family_ranking.csv,development|model_stage_v1__coarse__pytorch_mlp__epochs_200__003,rank,4,Frozen family rank by pooled development average precision.,nine frozen family representatives,source precision; recommended display 4 decimals for metrics,reports/post_coarse_v1_3_0/07_final_primary_family_ranking.csv,4e48aed3224dbe4745f969ba1dea0c6c91050f14cfd2e3e19bd8ef2ed5b8a73f,configuration_id=model_stage_v1__coarse__pytorch_mlp__epochs_200__003,development,pooled_oof_2015_2020,development_only_conditional_on_selection,development-only; conditional-on-selection; selection-unadjusted
